instance_name,instance_id,attaches_volumes,created_time,instance_state
,i-0b367f64a3dd634a3,vol-0ba09747d8ebca5c8,Tue Dec 21 2021 14:01:01 GMT+0530 (India Standard Time),running
,i-06e707e48ed7dd463,vol-0432c7e14cd09aa87,Tue Dec 21 2021 17:15:40 GMT+0530 (India Standard Time),running
vishal-web-1,i-0fc8c50b6b485507f,vol-0d8e29457ac1bec82,Thu Dec 23 2021 09:00:10 GMT+0530 (India Standard Time),running
nagarajan-stack,i-065798f6d4dafcd31,vol-0e08a42d9da83c033,Thu Dec 23 2021 11:04:46 GMT+0530 (India Standard Time),running
akcf,i-08498bd1bd4eb1cc7,vol-01f89dec92c14b59c,Thu Dec 23 2021 11:25:23 GMT+0530 (India Standard Time),running
akinstancejs,i-002cd7d030af0e681,"vol-0193026c3f7816b1b,vol-08ac361f93e59f9c4",Thu Dec 23 2021 12:35:27 GMT+0530 (India Standard Time),running
,i-06ea425902bdf532e,vol-00947aef4a7207ff9,Tue Dec 21 2021 13:59:04 GMT+0530 (India Standard Time),running
,i-0d8f152b5c072d2cb,vol-085cf0f9515b7825f,Tue Dec 21 2021 17:15:40 GMT+0530 (India Standard Time),running
nagarajan-stack,i-0a7fb40c95f761d71,vol-09834851f39c5f057,Thu Dec 23 2021 11:04:46 GMT+0530 (India Standard Time),running
akcf,i-0ecc3556836068c37,vol-02e4ead121e961f5d,Thu Dec 23 2021 11:25:23 GMT+0530 (India Standard Time),running
